order_id,Category,sub_category,product_id,cost_price,list_price,Quantity,discount_percent,Discount_value,selling_price,profit
50,Office Supplies,Binders,OFF-BI-10004410,30,40,6,4,1.6,38.4,8.399999999999999
51,Office Supplies,Labels,OFF-LA-10002762,70,80,6,4,3.2,76.8,6.799999999999997
52,Furniture,Furnishings,FUR-FU-10001706,10,10,2,4,0.4,9.6,-0.40000000000000036
53,Furniture,Chairs,FUR-CH-10003061,70,90,1,5,4.5,85.5,15.5
54,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,3,0.6,19.4,-0.6000000000000014
55,Technology,Phones,TEC-PH-10002447,850,1030,5,4,41.2,988.8,138.79999999999995
56,Office Supplies,Storage,OFF-ST-10000604,200,210,6,5,10.5,199.5,-0.5
57,Office Supplies,Paper,OFF-PA-10001569,30,30,5,5,1.5,28.5,-1.5
58,Furniture,Chairs,FUR-CH-10003968,290,320,5,2,6.4,313.6,23.600000000000023
59,Office Supplies,Paper,OFF-PA-10000587,10,10,2,4,0.4,9.6,-0.40000000000000036
60,Technology,Accessories,TEC-AC-10002167,20,30,2,5,1.5,28.5,8.5
61,Office Supplies,Binders,OFF-BI-10001460,40,50,4,2,1.0,49.0,9.0
62,Office Supplies,Art,OFF-AR-10001868,0,0,1,5,0.0,0.0,0.0
63,Technology,Accessories,TEC-AC-10004633,10,10,2,3,0.3,9.7,-0.3000000000000007
64,Office Supplies,Binders,OFF-BI-10001078,20,30,6,2,0.6,29.4,9.399999999999999
65,Office Supplies,Paper,OFF-PA-10003892,130,150,3,5,7.5,142.5,12.5
66,Furniture,Furnishings,FUR-FU-10000397,70,80,4,2,1.6,78.4,8.400000000000006
67,Furniture,Chairs,FUR-CH-10001146,180,210,5,5,10.5,199.5,19.5
68,Office Supplies,Art,OFF-AR-10002671,940,1110,8,3,33.3,1076.7,136.70000000000005
69,Technology,Phones,TEC-PH-10002726,160,170,4,3,5.1,164.9,4.900000000000006
70,Office Supplies,Paper,OFF-PA-10000482,70,80,2,2,1.6,78.4,8.400000000000006
71,Office Supplies,Binders,OFF-BI-10004654,0,0,1,3,0.0,0.0,0.0
72,Office Supplies,Paper,OFF-PA-10004675,20,20,3,3,0.6,19.4,-0.6000000000000014
73,Furniture,Chairs,FUR-CH-10000513,790,830,8,2,16.6,813.4,23.399999999999977
74,Furniture,Furnishings,FUR-FU-10003708,90,100,2,3,3.0,97.0,7.0
75,Office Supplies,Storage,OFF-ST-10004123,60,70,1,2,1.4000000000000001,68.6,8.599999999999994
76,Office Supplies,Binders,OFF-BI-10004182,0,0,3,4,0.0,0.0,0.0
77,Furniture,Furnishings,FUR-FU-10000260,10,10,3,4,0.4,9.6,-0.40000000000000036
78,Office Supplies,Storage,OFF-ST-10000615,20,30,3,2,0.6,29.4,9.399999999999999
79,Furniture,Furnishings,FUR-FU-10003194,20,20,5,2,0.4,19.6,-0.3999999999999986
80,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,3,6.3,203.7,13.699999999999989
81,Office Supplies,Binders,OFF-BI-10002309,20,20,3,2,0.4,19.6,-0.3999999999999986
82,Office Supplies,Art,OFF-AR-10002053,10,10,5,5,0.5,9.5,-0.5
83,Office Supplies,Storage,OFF-ST-10002370,20,20,1,4,0.8,19.2,-0.8000000000000007
84,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,3,6.0,194.0,14.0
85,Office Supplies,Storage,OFF-ST-10003656,210,230,3,2,4.6000000000000005,225.4,15.400000000000006
86,Furniture,Chairs,FUR-CH-10000863,260,300,2,5,15.0,285.0,25.0
87,Technology,Accessories,TEC-AC-10001998,20,20,1,5,1.0,19.0,-1.0
88,Office Supplies,Labels,OFF-LA-10000134,10,10,2,5,0.5,9.5,-0.5
89,Office Supplies,Storage,OFF-ST-10003442,140,160,7,5,8.0,152.0,12.0
90,Office Supplies,Art,OFF-AR-10004930,20,20,3,2,0.4,19.6,-0.3999999999999986
91,Technology,Phones,TEC-PH-10004093,60,70,2,2,1.4000000000000001,68.6,8.599999999999994
92,Office Supplies,Paper,OFF-PA-10000304,10,10,1,2,0.2,9.8,-0.1999999999999993
93,Office Supplies,Paper,OFF-PA-10003177,10,10,2,2,0.2,9.8,-0.1999999999999993
94,Furniture,Furnishings,FUR-FU-10003799,50,50,3,5,2.5,47.5,-2.5
95,Office Supplies,Binders,OFF-BI-10002852,20,30,2,3,0.8999999999999999,29.1,9.100000000000001
96,Office Supplies,Binders,OFF-BI-10004738,10,10,1,2,0.2,9.8,-0.1999999999999993
97,Furniture,Furnishings,FUR-FU-10000629,80,100,7,5,5.0,95.0,15.0
98,Office Supplies,Binders,OFF-BI-10001721,40,50,3,4,2.0,48.0,8.0
99,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,3,2.4,77.6,7.599999999999994
100,Office Supplies,Paper,OFF-PA-10003256,60,60,7,3,1.7999999999999998,58.2,-1.7999999999999972
101,Technology,Accessories,TEC-AC-10001767,80,100,3,5,5.0,95.0,15.0
102,Office Supplies,Binders,OFF-BI-10002609,0,0,3,3,0.0,0.0,0.0
103,Office Supplies,Paper,OFF-PA-10004040,20,20,4,4,0.8,19.2,-0.8000000000000007
104,Technology,Accessories,TEC-AC-10001552,220,240,6,3,7.199999999999999,232.8,12.800000000000011
105,Furniture,Furnishings,FUR-FU-10004006,90,100,3,5,5.0,95.0,5.0
106,Office Supplies,Binders,OFF-BI-10002794,30,40,3,5,2.0,38.0,8.0
107,Technology,Accessories,TEC-AC-10003499,60,70,8,5,3.5,66.5,6.5
108,Technology,Phones,TEC-PH-10002844,30,30,1,3,0.8999999999999999,29.1,-0.8999999999999986
109,Office Supplies,Art,OFF-AR-10000390,0,0,1,3,0.0,0.0,0.0
110,Technology,Accessories,TEC-AC-10000844,290,340,5,2,6.8,333.2,43.19999999999999
111,Furniture,Furnishings,FUR-FU-10001934,30,40,2,2,0.8,39.2,9.200000000000003
112,Office Supplies,Art,OFF-AR-10000380,70,80,2,3,2.4,77.6,7.599999999999994
113,Office Supplies,Binders,OFF-BI-10003981,30,30,6,3,0.8999999999999999,29.1,-0.8999999999999986
114,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,2,0.8,39.2,-0.7999999999999972
115,Office Supplies,Envelopes,OFF-EN-10002600,0,0,2,4,0.0,0.0,0.0
116,Office Supplies,Paper,OFF-PA-10004965,20,20,3,4,0.8,19.2,-0.8000000000000007
117,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,5,6.5,123.5,3.5
118,Furniture,Tables,FUR-TA-10001768,720,790,3,4,31.6,758.4,38.39999999999998
119,Office Supplies,Binders,OFF-BI-10003650,140,160,1,5,8.0,152.0,12.0
120,Furniture,Furnishings,FUR-FU-10002157,50,50,3,3,1.5,48.5,-1.5
121,Office Supplies,Binders,OFF-BI-10003910,20,30,4,2,0.6,29.4,9.399999999999999
122,Office Supplies,Storage,OFF-ST-10000777,190,230,6,2,4.6000000000000005,225.4,35.400000000000006
123,Office Supplies,Envelopes,OFF-EN-10002500,110,120,9,4,4.8,115.2,5.200000000000003
124,Technology,Phones,TEC-PH-10003875,60,70,7,2,1.4000000000000001,68.6,8.599999999999994
125,Furniture,Chairs,FUR-CH-10004063,550,600,3,3,18.0,582.0,32.0
126,Furniture,Tables,FUR-TA-10004534,540,620,6,4,24.8,595.2,55.200000000000045
127,Office Supplies,Binders,OFF-BI-10003274,0,0,2,4,0.0,0.0,0.0
128,Office Supplies,Storage,OFF-ST-10002974,200,240,7,4,9.6,230.4,30.400000000000006
129,Furniture,Chairs,FUR-CH-10001146,70,80,2,2,1.6,78.4,8.400000000000006
130,Furniture,Furnishings,FUR-FU-10003773,220,240,3,4,9.6,230.4,10.400000000000006
131,Technology,Phones,TEC-PH-10002293,50,60,5,3,1.7999999999999998,58.2,8.200000000000003
132,Office Supplies,Paper,OFF-PA-10002377,80,80,2,4,3.2,76.8,-3.200000000000003
133,Office Supplies,Fasteners,OFF-FA-10002780,20,20,9,5,1.0,19.0,-1.0
134,Office Supplies,Paper,OFF-PA-10001804,20,20,3,4,0.8,19.2,-0.8000000000000007
135,Office Supplies,Paper,OFF-PA-10001736,30,40,1,5,2.0,38.0,8.0
136,Office Supplies,Art,OFF-AR-10001149,10,10,4,5,0.5,9.5,-0.5
137,Office Supplies,Fasteners,OFF-FA-10002988,0,0,2,5,0.0,0.0,0.0
138,Office Supplies,Binders,OFF-BI-10004781,70,80,3,2,1.6,78.4,8.400000000000006
139,Office Supplies,Supplies,OFF-SU-10001218,60,70,6,5,3.5,66.5,6.5
140,Furniture,Furnishings,FUR-FU-10001706,40,40,14,2,0.8,39.2,-0.7999999999999972
141,Furniture,Furnishings,FUR-FU-10004848,60,80,2,2,1.6,78.4,18.400000000000006
142,Office Supplies,Art,OFF-AR-10000940,10,10,3,3,0.3,9.7,-0.3000000000000007
143,Office Supplies,Envelopes,OFF-EN-10004030,10,10,3,2,0.2,9.8,-0.1999999999999993
144,Office Supplies,Paper,OFF-PA-10004327,130,140,3,5,7.0,133.0,3.0
145,Office Supplies,Appliances,OFF-AP-10001058,780,840,3,2,16.8,823.2,43.200000000000045
146,Office Supplies,Storage,OFF-ST-10003656,600,670,7,3,20.099999999999998,649.9,49.89999999999998
147,Furniture,Furnishings,FUR-FU-10000521,80,90,4,4,3.6,86.4,6.400000000000006
148,Technology,Phones,TEC-PH-10000215,350,380,11,4,15.200000000000001,364.8,14.800000000000011
149,Technology,Phones,TEC-PH-10001448,140,150,3,5,7.5,142.5,2.5
150,Furniture,Chairs,FUR-CH-10000454,1580,1950,8,3,58.5,1891.5,311.5
151,Office Supplies,Binders,OFF-BI-10002735,150,170,5,4,6.8,163.2,13.199999999999989
152,Office Supplies,Appliances,OFF-AP-10000326,140,160,5,5,8.0,152.0,12.0
153,Technology,Phones,TEC-PH-10001254,160,200,2,2,4.0,196.0,36.0
154,Office Supplies,Paper,OFF-PA-10001950,50,60,7,4,2.4,57.6,7.600000000000001
155,Office Supplies,Paper,OFF-PA-10002254,100,110,4,4,4.4,105.6,5.599999999999994
156,Office Supplies,Storage,OFF-ST-10001590,60,80,6,4,3.2,76.8,16.799999999999997
157,Office Supplies,Art,OFF-AR-10001547,10,10,3,3,0.3,9.7,-0.3000000000000007
158,Furniture,Chairs,FUR-CH-10004063,380,460,2,2,9.200000000000001,450.8,70.80000000000001
159,Office Supplies,Labels,OFF-LA-10002475,10,10,2,3,0.3,9.7,-0.3000000000000007
160,Technology,Phones,TEC-PH-10004536,870,940,7,5,47.0,893.0,23.0
161,Office Supplies,Paper,OFF-PA-10002751,10,10,1,4,0.4,9.6,-0.40000000000000036
162,Technology,Accessories,TEC-AC-10003657,40,50,2,5,2.5,47.5,7.5
163,Office Supplies,Envelopes,OFF-EN-10001990,30,30,5,4,1.2,28.8,-1.1999999999999993
164,Office Supplies,Binders,OFF-BI-10004002,20,30,2,3,0.8999999999999999,29.1,9.100000000000001
165,Office Supplies,Art,OFF-AR-10004441,10,10,3,5,0.5,9.5,-0.5
166,Technology,Machines,TEC-MA-10000822,6850,8160,8,4,326.40000000000003,7833.6,983.6000000000004
167,Office Supplies,Storage,OFF-ST-10000991,250,280,3,4,11.200000000000001,268.8,18.80000000000001
168,Furniture,Chairs,FUR-CH-10004287,1620,1740,9,4,69.60000000000001,1670.4,50.40000000000009
169,Office Supplies,Art,OFF-AR-10002656,30,30,6,4,1.2,28.8,-1.1999999999999993
170,Office Supplies,Appliances,OFF-AP-10002518,150,180,5,2,3.6,176.4,26.400000000000006
171,Technology,Phones,TEC-PH-10003931,120,140,3,5,7.0,133.0,13.0
172,Office Supplies,Paper,OFF-PA-10000659,20,20,3,2,0.4,19.6,-0.3999999999999986
173,Office Supplies,Paper,OFF-PA-10001144,100,110,2,4,4.4,105.6,5.599999999999994
174,Furniture,Chairs,FUR-CH-10003817,290,340,7,2,6.8,333.2,43.19999999999999
175,Office Supplies,Appliances,OFF-AP-10000891,50,50,2,4,2.0,48.0,-2.0
176,Office Supplies,Labels,OFF-LA-10003148,20,20,4,5,1.0,19.0,-1.0
177,Office Supplies,Appliances,OFF-AP-10002684,90,100,4,2,2.0,98.0,8.0
178,Furniture,Chairs,FUR-CH-10004698,370,400,7,5,20.0,380.0,10.0
179,Office Supplies,Supplies,OFF-SU-10002189,20,20,5,3,0.6,19.4,-0.6000000000000014
180,Office Supplies,Art,OFF-AR-10001940,0,0,1,5,0.0,0.0,0.0
181,Office Supplies,Storage,OFF-ST-10003455,20,20,2,5,1.0,19.0,-1.0
182,Technology,Accessories,TEC-AC-10004659,380,410,7,3,12.299999999999999,397.7,17.69999999999999
183,Technology,Phones,TEC-PH-10003273,470,500,4,5,25.0,475.0,5.0
184,Technology,Phones,TEC-PH-10004896,140,150,5,2,3.0,147.0,7.0
185,Technology,Accessories,TEC-AC-10002345,30,30,2,5,1.5,28.5,-1.5
186,Office Supplies,Binders,OFF-BI-10001890,10,10,2,2,0.2,9.8,-0.1999999999999993
187,Technology,Accessories,TEC-AC-10002323,160,180,8,3,5.3999999999999995,174.6,14.599999999999994
188,Office Supplies,Storage,OFF-ST-10001328,40,40,3,4,1.6,38.4,-1.6000000000000014
189,Office Supplies,Paper,OFF-PA-10001950,20,20,3,3,0.6,19.4,-0.6000000000000014
190,Furniture,Bookcases,FUR-BO-10002613,820,900,4,3,27.0,873.0,53.0
191,Technology,Phones,TEC-PH-10001552,60,70,6,4,2.8000000000000003,67.2,7.200000000000003
192,Office Supplies,Paper,OFF-PA-10000061,50,50,8,5,2.5,47.5,-2.5
193,Furniture,Bookcases,FUR-BO-10002545,520,630,3,2,12.6,617.4,97.39999999999998
194,Office Supplies,Art,OFF-AR-10003514,20,20,5,3,0.6,19.4,-0.6000000000000014
195,Office Supplies,Envelopes,OFF-EN-10001509,10,10,7,2,0.2,9.8,-0.1999999999999993
196,Office Supplies,Art,OFF-AR-10004685,10,10,2,5,0.5,9.5,-0.5
197,Office Supplies,Art,OFF-AR-10004027,10,10,3,2,0.2,9.8,-0.1999999999999993
198,Office Supplies,Storage,OFF-ST-10001414,40,50,3,5,2.5,47.5,7.5
199,Office Supplies,Binders,OFF-BI-10000343,0,0,2,5,0.0,0.0,0.0
200,Office Supplies,Paper,OFF-PA-10002749,20,20,3,2,0.4,19.6,-0.3999999999999986
201,Office Supplies,Paper,OFF-PA-10002666,20,20,3,5,1.0,19.0,-1.0
202,Furniture,Tables,FUR-TA-10004289,200,220,2,3,6.6,213.4,13.400000000000006
203,Office Supplies,Appliances,OFF-AP-10003622,0,0,1,5,0.0,0.0,0.0
204,Office Supplies,Appliances,OFF-AP-10003217,60,70,2,2,1.4000000000000001,68.6,8.599999999999994
205,Furniture,Furnishings,FUR-FU-10002960,40,40,7,3,1.2,38.8,-1.2000000000000028
206,Technology,Phones,TEC-PH-10001918,370,440,4,3,13.2,426.8,56.80000000000001
207,Office Supplies,Storage,OFF-ST-10000642,70,80,4,4,3.2,76.8,6.799999999999997
208,Technology,Phones,TEC-PH-10001700,120,130,2,3,3.9,126.1,6.099999999999994
209,Office Supplies,Binders,OFF-BI-10003274,20,20,4,3,0.6,19.4,-0.6000000000000014
210,Office Supplies,Fasteners,OFF-FA-10000134,50,50,9,2,1.0,49.0,-1.0
211,Office Supplies,Storage,OFF-ST-10001522,80,90,1,5,4.5,85.5,5.5
212,Technology,Accessories,TEC-AC-10001266,20,20,2,4,0.8,19.2,-0.8000000000000007
213,Office Supplies,Labels,OFF-LA-10004544,20,20,2,4,0.8,19.2,-0.8000000000000007
214,Furniture,Bookcases,FUR-BO-10004695,390,450,5,5,22.5,427.5,37.5
215,Technology,Phones,TEC-PH-10002844,50,60,3,3,1.7999999999999998,58.2,8.200000000000003
216,Technology,Machines,TEC-MA-10000864,1040,1190,9,4,47.6,1142.4,102.40000000000009
217,Technology,Accessories,TEC-AC-10000109,80,90,2,5,4.5,85.5,5.5
218,Office Supplies,Storage,OFF-ST-10001328,80,90,6,3,2.6999999999999997,87.3,7.299999999999997
219,Technology,Phones,TEC-PH-10002563,250,300,3,4,12.0,288.0,38.0
220,Office Supplies,Fasteners,OFF-FA-10000585,10,10,2,2,0.2,9.8,-0.1999999999999993
221,Office Supplies,Paper,OFF-PA-10004000,20,20,6,4,0.8,19.2,-0.8000000000000007
222,Office Supplies,Binders,OFF-BI-10002852,20,20,4,3,0.6,19.4,-0.6000000000000014
223,Furniture,Furnishings,FUR-FU-10000087,60,70,4,3,2.1,67.9,7.900000000000006
224,Technology,Machines,TEC-MA-10001148,410,480,4,4,19.2,460.8,50.80000000000001
225,Office Supplies,Art,OFF-AR-10001958,30,30,2,4,1.2,28.8,-1.1999999999999993
226,Office Supplies,Art,OFF-AR-10001026,0,0,1,2,0.0,0.0,0.0
227,Furniture,Tables,FUR-TA-10003748,510,620,5,2,12.4,607.6,97.60000000000002
228,Office Supplies,Storage,OFF-ST-10002485,20,20,1,3,0.6,19.4,-0.6000000000000014
229,Furniture,Chairs,FUR-CH-10004860,130,160,2,2,3.2,156.8,26.80000000000001
230,Furniture,Chairs,FUR-CH-10004477,360,390,8,2,7.8,382.2,22.19999999999999
231,Office Supplies,Binders,OFF-BI-10001679,20,20,7,5,1.0,19.0,-1.0
232,Furniture,Tables,FUR-TA-10001705,210,230,2,4,9.200000000000001,220.8,10.800000000000011
233,Furniture,Tables,FUR-TA-10003473,510,620,3,4,24.8,595.2,85.20000000000005
234,Office Supplies,Binders,OFF-BI-10001679,10,10,2,2,0.2,9.8,-0.1999999999999993
235,Furniture,Furnishings,FUR-FU-10004017,250,260,3,5,13.0,247.0,-3.0
236,Technology,Accessories,TEC-AC-10003832,500,620,3,4,24.8,595.2,95.20000000000005
237,Office Supplies,Paper,OFF-PA-10002479,10,10,2,4,0.4,9.6,-0.40000000000000036
238,Office Supplies,Paper,OFF-PA-10003349,30,30,5,4,1.2,28.8,-1.1999999999999993
239,Furniture,Furnishings,FUR-FU-10000576,340,420,5,2,8.4,411.6,71.60000000000002
240,Furniture,Furnishings,FUR-FU-10004351,10,10,3,2,0.2,9.8,-0.1999999999999993
241,Technology,Phones,TEC-PH-10000011,30,30,2,3,0.8999999999999999,29.1,-0.8999999999999986
242,Furniture,Tables,FUR-TA-10002607,150,180,5,3,5.3999999999999995,174.6,24.599999999999994
243,Furniture,Furnishings,FUR-FU-10002505,0,0,3,4,0.0,0.0,0.0
244,Office Supplies,Art,OFF-AR-10004685,10,10,2,3,0.3,9.7,-0.3000000000000007
245,Furniture,Chairs,FUR-CH-10004063,1620,2000,7,2,40.0,1960.0,340.0
246,Office Supplies,Storage,OFF-ST-10002276,150,170,2,4,6.8,163.2,13.199999999999989
247,Office Supplies,Paper,OFF-PA-10004082,40,50,6,5,2.5,47.5,7.5
248,Office Supplies,Appliances,OFF-AP-10002945,1380,1500,5,5,75.0,1425.0,45.0
249,Office Supplies,Paper,OFF-PA-10000061,20,30,4,3,0.8999999999999999,29.1,9.100000000000001
250,Furniture,Chairs,FUR-CH-10002965,300,320,2,5,16.0,304.0,4.0
251,Office Supplies,Paper,OFF-PA-10004569,10,10,1,3,0.3,9.7,-0.3000000000000007
252,Technology,Accessories,TEC-AC-10003832,3050,3350,13,4,134.0,3216.0,166.0
253,Office Supplies,Storage,OFF-ST-10001228,70,80,6,5,4.0,76.0,6.0
254,Office Supplies,Envelopes,OFF-EN-10003296,330,360,4,4,14.4,345.6,15.600000000000023
255,Furniture,Furnishings,FUR-FU-10002505,10,10,9,2,0.2,9.8,-0.1999999999999993
256,Office Supplies,Storage,OFF-ST-10004804,70,80,2,2,1.6,78.4,8.400000000000006
257,Office Supplies,Storage,OFF-ST-10001590,40,50,5,2,1.0,49.0,9.0
258,Technology,Phones,TEC-PH-10001580,590,650,6,4,26.0,624.0,34.0
259,Technology,Accessories,TEC-AC-10000290,20,20,3,5,1.0,19.0,-1.0
260,Office Supplies,Storage,OFF-ST-10002790,180,220,3,4,8.8,211.2,31.19999999999999
261,Office Supplies,Binders,OFF-BI-10003460,20,20,5,5,1.0,19.0,-1.0
262,Office Supplies,Appliances,OFF-AP-10002203,0,0,2,2,0.0,0.0,0.0
263,Technology,Machines,TEC-MA-10000822,2690,3060,3,3,91.8,2968.2,278.1999999999998
264,Technology,Machines,TEC-MA-10003353,2170,2520,7,3,75.6,2444.4,274.4000000000001
265,Technology,Phones,TEC-PH-10001433,300,330,4,3,9.9,320.1,20.100000000000023
266,Technology,Accessories,TEC-AC-10004469,70,80,2,4,3.2,76.8,6.799999999999997
267,Office Supplies,Art,OFF-AR-10003602,10,10,3,5,0.5,9.5,-0.5
268,Office Supplies,Fasteners,OFF-FA-10003472,10,10,6,2,0.2,9.8,-0.1999999999999993
269,Office Supplies,Storage,OFF-ST-10004180,30,40,1,3,1.2,38.8,8.799999999999997
270,Office Supplies,Envelopes,OFF-EN-10004386,50,60,3,3,1.7999999999999998,58.2,8.200000000000003
271,Office Supplies,Storage,OFF-ST-10003208,590,730,4,2,14.6,715.4,125.39999999999998
272,Technology,Accessories,TEC-AC-10003628,200,210,7,5,10.5,199.5,-0.5
273,Furniture,Furnishings,FUR-FU-10003274,10,10,3,4,0.4,9.6,-0.40000000000000036
274,Office Supplies,Binders,OFF-BI-10002557,10,10,3,4,0.4,9.6,-0.40000000000000036
275,Office Supplies,Paper,OFF-PA-10002615,10,10,2,3,0.3,9.7,-0.3000000000000007
276,Office Supplies,Art,OFF-AR-10001427,10,10,1,2,0.2,9.8,-0.1999999999999993
277,Office Supplies,Paper,OFF-PA-10000673,10,10,2,4,0.4,9.6,-0.40000000000000036
278,Office Supplies,Paper,OFF-PA-10004470,20,20,4,2,0.4,19.6,-0.3999999999999986
279,Office Supplies,Storage,OFF-ST-10000876,50,60,6,2,1.2,58.8,8.799999999999997
280,Office Supplies,Labels,OFF-LA-10002043,20,20,3,5,1.0,19.0,-1.0
281,Office Supplies,Binders,OFF-BI-10004967,0,0,5,3,0.0,0.0,0.0
282,Technology,Phones,TEC-PH-10001760,1050,1110,7,3,33.3,1076.7,26.700000000000045
283,Furniture,Tables,FUR-TA-10002903,950,1040,5,5,52.0,988.0,38.0
284,Office Supplies,Paper,OFF-PA-10000474,130,140,5,5,7.0,133.0,3.0
285,Technology,Accessories,TEC-AC-10001956,210,240,5,5,12.0,228.0,18.0
286,Office Supplies,Paper,OFF-PA-10004100,30,30,6,5,1.5,28.5,-1.5
287,Office Supplies,Binders,OFF-BI-10000778,230,250,7,3,7.5,242.5,12.5
288,Office Supplies,Appliances,OFF-AP-10002684,150,190,2,2,3.8000000000000003,186.2,36.19999999999999
289,Office Supplies,Supplies,OFF-SU-10000646,810,960,5,5,48.0,912.0,102.0
290,Office Supplies,Fasteners,OFF-FA-10002983,20,20,7,5,1.0,19.0,-1.0
291,Office Supplies,Labels,OFF-LA-10004689,20,20,8,3,0.6,19.4,-0.6000000000000014
292,Technology,Accessories,TEC-AC-10002001,220,260,2,2,5.2,254.8,34.80000000000001
293,Furniture,Bookcases,FUR-BO-10004709,80,90,3,4,3.6,86.4,6.400000000000006
